column,mean_diff,max_diff,std_diff,significant_count,total_count,significant_percentage
rdd1_dindx_129,0.6738382099827883,254,66.81041191312447,1162,1797,64.66332776850307
rdd1_dindx_127,1.228448275862069,253,68.80172951168487,1160,1797,64.55203116304953
rdd1_dindx_126,-0.41278065630397237,254,66.08417390309482,1158,1797,64.44073455759599
rdd1_dindx_128,0.6957649092480553,252,66.32338019083329,1157,1797,64.38508625486922
rdd1_dindx_119,-1.2034632034632036,255,66.53554976060254,1155,1797,64.27378964941569
rdd1_dindx_124,-0.5823223570190641,254,67.77308632460192,1154,1797,64.21814134668892
rdd1_dindx_115,-1.466608846487424,252,71.34291670849878,1153,1797,64.16249304396216
rdd1_dindx_123,-1.6834345186470079,252,66.2393846155028,1153,1797,64.16249304396216
rdd1_dindx_125,1.1032090199479618,254,70.69364367440765,1153,1797,64.16249304396216
rdd1_dindx_122,-2.671875,253,66.71297850232024,1152,1797,64.10684474123539
rdd1_dindx_116,0.9921875,249,66.3853892377127,1152,1797,64.10684474123539
rdd1_dindx_120,-2.1311902693310163,252,66.72853826903129,1151,1797,64.05119643850863
rdd1_dindx_130,-3.5377932232841007,253,75.92558949309408,1151,1797,64.05119643850863
rdd1_dindx_133,-4.79304347826087,252,74.26064991312592,1150,1797,63.99554813578185
rdd1_dindx_117,-2.362608695652174,254,70.41036109633615,1150,1797,63.99554813578185
rdd1_dindx_118,-1.885987815491732,253,67.86576152832019,1149,1797,63.939899833055094
rdd1_dindx_121,-1.4520905923344947,253,66.54953072098579,1148,1797,63.88425153032833
rdd1_dindx_131,-1.1437282229965158,253,72.19555376415433,1148,1797,63.88425153032833
rdd1_dindx_134,-4.185701830863121,253,66.6248684789274,1147,1797,63.828603227601555
rdd1_dindx_110,0.5440278988666085,254,70.49558363303393,1147,1797,63.828603227601555
rdd1_dindx_113,-1.5727986050566696,252,70.0597868439604,1147,1797,63.828603227601555
rdd1_dindx_114,0.8525305410122164,252,70.68882031361885,1146,1797,63.77295492487479
rdd1_dindx_112,-0.5126637554585153,253,67.05046047649223,1145,1797,63.71730662214803
rdd1_dindx_111,0.039301310043668124,252,67.19298434630926,1145,1797,63.71730662214803
rdd1_dindx_106,-1.8803493449781659,255,71.71920383694032,1145,1797,63.71730662214803
rdd1_dindx_132,-0.45676855895196505,254,71.20610413731173,1145,1797,63.71730662214803
rdd1_dindx_104,-2.121397379912664,253,69.81103706337504,1145,1797,63.71730662214803
rdd1_dindx_143,0.40857392825896766,253,68.3390510121549,1143,1797,63.60601001669449
rdd1_dindx_142,-4.308836395450569,254,68.69741673654892,1143,1797,63.60601001669449
rdd1_dindx_107,-0.34005258545135847,254,65.7050753911903,1141,1797,63.49471341124095
rdd1_dindx_137,-1.0052585451358458,254,75.04706071553339,1141,1797,63.49471341124095
rdd1_dindx_136,0.14022787028921999,253,73.70103025821608,1141,1797,63.49471341124095
rdd1_dindx_135,-0.8019281332164768,254,68.03065012545922,1141,1797,63.49471341124095
rdd1_dindx_109,-1.5342105263157895,252,72.36679030060556,1140,1797,63.43906510851419
rdd1_dindx_101,0.9736842105263158,252,68.07000531268305,1140,1797,63.43906510851419
rdd1_dindx_141,-0.000877963125548727,253,71.28997653441519,1139,1797,63.38341680578742
rdd1_dindx_138,-3.8446005267778753,255,76.74545165471878,1139,1797,63.38341680578742
rdd1_dindx_140,3.1353251318101933,254,69.0797224165483,1138,1797,63.32776850306065
rdd1_dindx_139,1.8021108179419525,254,72.18328130063311,1137,1797,63.272120200333895
rdd1_dindx_105,1.3623570800351803,255,71.69827518096417,1137,1797,63.272120200333895
rdd1_dindx_103,4.308978873239437,252,68.47448988090571,1136,1797,63.21647189760712
rdd1_dindx_144,-0.852112676056338,252,68.4804713792577,1136,1797,63.21647189760712
rdd1_dindx_100,1.5030837004405286,253,67.80712305965616,1135,1797,63.160823594880355
rdd1_dindx_102,-0.3312775330396476,254,65.00896203650652,1135,1797,63.160823594880355
rdd1_dindx_97,0.34832451499118167,253,64.26225898061408,1134,1797,63.10517529215359
rdd1_dindx_108,-1.0070609002647837,251,70.73664809351968,1133,1797,63.049526989426816
rdd1_dindx_98,-1.4510150044130627,252,61.119914050148736,1133,1797,63.049526989426816
rdd1_dindx_99,0.2504424778761062,254,64.92555386018667,1130,1797,62.88258208124652
rdd1_dindx_145,-0.899822695035461,254,73.35586581599287,1128,1797,62.77128547579299
rdd1_dindx_96,-0.99822695035461,255,62.196796430507554,1128,1797,62.77128547579299
rdd1_dindx_146,-3.429458740017746,252,70.64733101013242,1127,1797,62.71563717306622
rdd1_dindx_147,0.3191111111111111,254,73.49307715915144,1125,1797,62.604340567612695
rdd1_dindx_148,-3.305431878895815,255,77.25971417518045,1123,1797,62.493043962159156
rdd1_dindx_95,1.21301247771836,253,63.892763950394865,1122,1797,62.43739565943238
rdd1_dindx_149,-5.658318425760286,254,75.02329678506322,1118,1797,62.21480244852532
rdd1_dindx_94,3.1836917562724016,253,62.30061632899859,1116,1797,62.10350584307178
rdd1_dindx_93,0.4609164420485175,255,65.4797935942925,1113,1797,61.93656093489148
rdd1_dindx_150,-1.789568345323741,253,75.81339951391732,1112,1797,61.88091263216472
rdd1_dindx_151,-3.038703870387039,254,74.93092730339636,1111,1797,61.82526432943796
rdd1_dindx_92,-4.3045045045045045,254,63.70289340648577,1110,1797,61.769616026711184
rdd1_dindx_152,-1.825339366515837,254,76.06644684282335,1105,1797,61.491374513077346
rdd1_dindx_154,-6.686025408348457,253,75.69978054035424,1102,1797,61.32442960489705
rdd1_dindx_153,-1.916287534121929,254,78.03394130090324,1099,1797,61.15748469671674
rdd1_dindx_91,3.019125683060109,252,66.76445422703422,1098,1797,61.101836393989984
rdd1_dindx_90,-1.313868613138686,250,67.9717767562302,1096,1797,60.990539788536445
rdd1_dindx_155,-4.544789762340036,254,75.6884387947469,1094,1797,60.87924318308292
rdd1_dindx_89,-1.0871559633027523,253,66.85138055969483,1090,1797,60.65664997217585
rdd1_dindx_88,3.361034164358264,250,64.88249080995797,1083,1797,60.26711185308849
rdd1_dindx_156,-3.425138632162662,255,71.47166001328581,1082,1797,60.211463550361714
rdd1_dindx_157,-1.5683918669131238,254,76.85191992474884,1082,1797,60.211463550361714
rdd1_dindx_87,-1.3983286908077994,249,65.83801706591292,1077,1797,59.933222036727884
rdd1_dindx_86,0.8797763280521901,251,63.79254508287998,1073,1797,59.71062882582081
rdd1_dindx_158,-6.244631185807656,254,72.98116295487392,1071,1797,59.59933222036727
rdd1_dindx_85,3.8559401309635173,251,61.13595558487752,1069,1797,59.48803561491375
rdd1_dindx_159,-3.688617121354657,254,73.76770595861177,1063,1797,59.154145798553145
rdd1_dindx_160,0.3229755178907721,254,73.77006713741632,1062,1797,59.09849749582637
rdd1_dindx_84,-1.3072573044297833,253,64.65379296301192,1061,1797,59.04284919309961
rdd1_dindx_161,-2.4761904761904763,255,79.19838805936529,1050,1797,58.43071786310517
rdd1_dindx_162,-5.7,254,76.48508413565416,1050,1797,58.43071786310517
rdd1_dindx_83,2.5561904761904763,249,64.00493422022357,1050,1797,58.43071786310517
rdd1_dindx_81,-1.8076555023923444,247,65.15739015363121,1045,1797,58.152476349471335
rdd1_dindx_82,2.664750957854406,246,65.25373892221643,1044,1797,58.09682804674458
rdd1_dindx_80,1.2815814850530376,254,63.4874286389403,1037,1797,57.7072899276572
rdd1_dindx_163,-3.145348837209302,253,73.0456358739326,1032,1797,57.42904841402338
rdd1_dindx_79,0.8328474246841594,250,61.732480702780684,1029,1797,57.26210350584308
rdd1_dindx_78,0.011764705882352941,254,63.0499013295828,1020,1797,56.761268781302164
rdd1_dindx_164,-1.053921568627451,254,75.42876157578483,1020,1797,56.761268781302164
rdd1_dindx_165,-0.5623159960745829,254,70.09635029560198,1019,1797,56.705620478575405
rdd1_dindx_166,-0.314484126984127,254,75.33851718186685,1008,1797,56.093489148580964
