(np.float64(0.0), np.float64(0.0))
 : 109(np.float64(158.0), np.float64(236.0))
 : 110(np.float64(162.0), np.float64(225.0))
 : 111(np.float64(163.0), np.float64(222.0))
 : 112(np.float64(166.0), np.float64(212.0))
 : 113(np.float64(166.0), np.float64(214.0))
 : 114(np.float64(167.0), np.float64(211.0))
 : 115(np.float64(168.0), np.float64(206.0))
 : 116(np.float64(173.0), np.float64(192.0))
 : 117(np.float64(181.0), np.float64(166.0))
 : 118(np.float64(188.0), np.float64(146.0))
 : 119(np.float64(191.0), np.float64(136.0))
 : 120(np.float64(194.0), np.float64(126.0))
 : 121(np.float64(196.0), np.float64(121.0))
 : 122(np.float64(197.0), np.float64(120.0))
 : 123(np.float64(199.0), np.float64(111.0))
 : 124(np.float64(199.0), np.float64(113.0))
 : 125(np.float64(200.0), np.float64(110.0))
 : 126(np.float64(219.0), np.float64(50.0))
 : 127(np.float64(221.0), np.float64(43.0))
 : 128(np.float64(237.0), np.float64(250.0))
 : 129(np.float64(241.0), np.float64(240.0))
 : 130(np.float64(247.0), np.float64(219.0))
 : 131(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(6.0), np.float64(255.0))
 : 6(np.float64(7.0), np.float64(10.0))
 : 7(np.float64(7.0), np.float64(13.0))
 : 8(np.float64(7.0), np.float64(20.0))
 : 9(np.float64(7.0), np.float64(23.0))
 : 10(np.float64(7.0), np.float64(29.0))
 : 11(np.float64(8.0), np.float64(2.0))
 : 12(np.float64(8.0), np.float64(58.0))
 : 13(np.float64(9.0), np.float64(1.0))
 : 14(np.float64(11.0), np.float64(0.0))
 : 15(np.float64(11.0), np.float64(52.0))
 : 16(np.float64(12.0), np.float64(6.0))
 : 17(np.float64(15.0), np.float64(67.0))
 : 18(np.float64(16.0), np.float64(65.0))
 : 19(np.float64(16.0), np.float64(70.0))
 : 20(np.float64(16.0), np.float64(75.0))
 : 21(np.float64(16.0), np.float64(78.0))
 : 22(np.float64(17.0), np.float64(80.0))
 : 23(np.float64(18.0), np.float64(82.0))
 : 24(np.float64(19.0), np.float64(85.0))
 : 25(np.float64(20.0), np.float64(88.0))
 : 26(np.float64(20.0), np.float64(91.0))
 : 27(np.float64(21.0), np.float64(93.0))
 : 28(np.float64(22.0), np.float64(34.0))
 : 29(np.float64(22.0), np.float64(94.0))
 : 30(np.float64(23.0), np.float64(48.0))
 : 31(np.float64(23.0), np.float64(97.0))
 : 32(np.float64(24.0), np.float64(38.0))
 : 33(np.float64(24.0), np.float64(100.0))
 : 34(np.float64(25.0), np.float64(43.0))
 : 35(np.float64(25.0), np.float64(101.0))
 : 36(np.float64(25.0), np.float64(106.0))
 : 37(np.float64(26.0), np.float64(104.0))
 : 38(np.float64(27.0), np.float64(107.0))
 : 39(np.float64(27.0), np.float64(114.0))
 : 40(np.float64(28.0), np.float64(110.0))
 : 41(np.float64(28.0), np.float64(117.0))
 : 42(np.float64(30.0), np.float64(55.0))
 : 43(np.float64(31.0), np.float64(57.0))
 : 44(np.float64(32.0), np.float64(62.0))
 : 45(np.float64(32.0), np.float64(64.0))
 : 46(np.float64(32.0), np.float64(130.0))
 : 47(np.float64(33.0), np.float64(66.0))
 : 48(np.float64(33.0), np.float64(68.0))
 : 49(np.float64(34.0), np.float64(70.0))
 : 50(np.float64(36.0), np.float64(75.0))
 : 51(np.float64(36.0), np.float64(77.0))
 : 52(np.float64(37.0), np.float64(78.0))
 : 53(np.float64(38.0), np.float64(80.0))
 : 54(np.float64(40.0), np.float64(89.0))
 : 55(np.float64(41.0), np.float64(92.0))
 : 56(np.float64(45.0), np.float64(105.0))
 : 57(np.float64(46.0), np.float64(108.0))
 : 58(np.float64(47.0), np.float64(112.0))
 : 59(np.float64(48.0), np.float64(115.0))
 : 60(np.float64(49.0), np.float64(120.0))
 : 61(np.float64(50.0), np.float64(125.0))
 : 62(np.float64(51.0), np.float64(126.0))
 : 63(np.float64(52.0), np.float64(130.0))
 : 64(np.float64(53.0), np.float64(134.0))
 : 65(np.float64(54.0), np.float64(136.0))
 : 66(np.float64(54.0), np.float64(138.0))
 : 67(np.float64(55.0), np.float64(139.0))
 : 68(np.float64(55.0), np.float64(142.0))
 : 69(np.float64(56.0), np.float64(144.0))
 : 70(np.float64(57.0), np.float64(147.0))
 : 71(np.float64(57.0), np.float64(153.0))
 : 72(np.float64(59.0), np.float64(152.0))
 : 73(np.float64(59.0), np.float64(155.0))
 : 74(np.float64(60.0), np.float64(157.0))
 : 75(np.float64(60.0), np.float64(160.0))
 : 76(np.float64(61.0), np.float64(165.0))
 : 77(np.float64(62.0), np.float64(168.0))
 : 78(np.float64(63.0), np.float64(173.0))
 : 79(np.float64(64.0), np.float64(175.0))
 : 80(np.float64(65.0), np.float64(178.0))
 : 81(np.float64(66.0), np.float64(182.0))
 : 82(np.float64(79.0), np.float64(226.0))
 : 83(np.float64(81.0), np.float64(229.0))
 : 84(np.float64(81.0), np.float64(233.0))
 : 85(np.float64(82.0), np.float64(236.0))
 : 86(np.float64(83.0), np.float64(238.0))
 : 87(np.float64(84.0), np.float64(241.0))
 : 88(np.float64(86.0), np.float64(248.0))
 : 89(np.float64(87.0), np.float64(252.0))
 : 90(np.float64(88.0), np.float64(243.0))
 : 91(np.float64(90.0), np.float64(6.0))
 : 92(np.float64(92.0), np.float64(13.0))
 : 93(np.float64(93.0), np.float64(20.0))
 : 94(np.float64(94.0), np.float64(23.0))
 : 95(np.float64(96.0), np.float64(27.0))
 : 96(np.float64(96.0), np.float64(104.0))
 : 97(np.float64(97.0), np.float64(30.0))
 : 98(np.float64(98.0), np.float64(33.0))
 : 99(np.float64(99.0), np.float64(37.0))
 : 100(np.float64(99.0), np.float64(40.0))
 : 101(np.float64(100.0), np.float64(43.0))
 : 102(np.float64(104.0), np.float64(56.0))
 : 103(np.float64(105.0), np.float64(60.0))
 : 104(np.float64(107.0), np.float64(65.0))
 : 105(np.float64(109.0), np.float64(72.0))
 : 106(np.float64(113.0), np.float64(88.0))
 : 107(np.float64(114.0), np.float64(91.0))
 : 108(np.float64(115.0), np.float64(95.0))
 : 109(np.float64(127.0), np.float64(137.0))
 : 110(np.float64(128.0), np.float64(138.0))
 : 111(np.float64(128.0), np.float64(140.0))
 : 112(np.float64(128.0), np.float64(146.0))
 : 113(np.float64(131.0), np.float64(149.0))
 : 114(np.float64(140.0), np.float64(180.0))
 : 115(np.float64(142.0), np.float64(187.0))
 : 116(np.float64(143.0), np.float64(189.0))
 : 117(np.float64(143.0), np.float64(192.0))
 : 118(np.float64(145.0), np.float64(199.0))
 : 119(np.float64(146.0), np.float64(201.0))
 : 120(np.float64(148.0), np.float64(210.0))
 : 121(np.float64(150.0), np.float64(216.0))
 : 122(np.float64(156.0), np.float64(237.0))
 : 123(np.float64(159.0), np.float64(249.0))
 : 124(np.float64(162.0), np.float64(3.0))
 : 125(np.float64(163.0), np.float64(6.0))
 : 126(np.float64(165.0), np.float64(13.0))
 : 127(np.float64(182.0), np.float64(71.0))
 : 128(np.float64(189.0), np.float64(96.0))
 : 129(np.float64(191.0), np.float64(105.0))
 : 130(np.float64(195.0), np.float64(117.0))
 : 131(np.float64(197.0), np.float64(122.0))
 : 132(np.float64(200.0), np.float64(135.0))
 : 133(np.float64(216.0), np.float64(191.0))
 : 134(np.float64(220.0), np.float64(205.0))
 : 135(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(6.0), np.float64(238.0))
 : 6(np.float64(7.0), np.float64(216.0))
 : 7(np.float64(7.0), np.float64(231.0))
 : 8(np.float64(9.0), np.float64(203.0))
 : 9(np.float64(9.0), np.float64(205.0))
 : 10(np.float64(10.0), np.float64(201.0))
 : 11(np.float64(10.0), np.float64(238.0))
 : 12(np.float64(11.0), np.float64(191.0))
 : 13(np.float64(12.0), np.float64(186.0))
 : 14(np.float64(13.0), np.float64(190.0))
 : 15(np.float64(13.0), np.float64(195.0))
 : 16(np.float64(13.0), np.float64(208.0))
 : 17(np.float64(14.0), np.float64(187.0))
 : 18(np.float64(15.0), np.float64(225.0))
 : 19(np.float64(16.0), np.float64(218.0))
 : 20(np.float64(16.0), np.float64(221.0))
 : 21(np.float64(17.0), np.float64(211.0))
 : 22(np.float64(17.0), np.float64(223.0))
 : 23(np.float64(18.0), np.float64(220.0))
 : 24(np.float64(19.0), np.float64(216.0))
 : 25(np.float64(20.0), np.float64(204.0))
 : 26(np.float64(21.0), np.float64(212.0))
 : 27(np.float64(22.0), np.float64(208.0))
 : 28(np.float64(23.0), np.float64(203.0))
 : 29(np.float64(24.0), np.float64(198.0))
 : 30(np.float64(25.0), np.float64(195.0))
 : 31(np.float64(26.0), np.float64(141.0))
 : 32(np.float64(26.0), np.float64(144.0))
 : 33(np.float64(27.0), np.float64(191.0))
 : 34(np.float64(28.0), np.float64(138.0))
 : 35(np.float64(28.0), np.float64(187.0))
 : 36(np.float64(28.0), np.float64(193.0))
 : 37(np.float64(29.0), np.float64(180.0))
 : 38(np.float64(29.0), np.float64(183.0))
 : 39(np.float64(29.0), np.float64(189.0))
 : 40(np.float64(30.0), np.float64(172.0))
 : 41(np.float64(30.0), np.float64(177.0))
 : 42(np.float64(31.0), np.float64(176.0))
 : 43(np.float64(32.0), np.float64(120.0))
 : 44(np.float64(32.0), np.float64(182.0))
 : 45(np.float64(34.0), np.float64(116.0))
 : 46(np.float64(34.0), np.float64(118.0))
 : 47(np.float64(36.0), np.float64(113.0))
 : 48(np.float64(36.0), np.float64(165.0))
 : 49(np.float64(39.0), np.float64(100.0))
 : 50(np.float64(39.0), np.float64(105.0))
 : 51(np.float64(40.0), np.float64(97.0))
 : 52(np.float64(41.0), np.float64(95.0))
 : 53(np.float64(43.0), np.float64(89.0))
 : 54(np.float64(43.0), np.float64(92.0))
 : 55(np.float64(48.0), np.float64(77.0))
 : 56(np.float64(49.0), np.float64(72.0))
 : 57(np.float64(50.0), np.float64(69.0))
 : 58(np.float64(51.0), np.float64(67.0))
 : 59(np.float64(53.0), np.float64(61.0))
 : 60(np.float64(53.0), np.float64(63.0))
 : 61(np.float64(54.0), np.float64(59.0))
 : 62(np.float64(55.0), np.float64(56.0))
 : 63(np.float64(56.0), np.float64(53.0))
 : 64(np.float64(57.0), np.float64(50.0))
 : 65(np.float64(59.0), np.float64(44.0))
 : 66(np.float64(62.0), np.float64(38.0))
 : 67(np.float64(63.0), np.float64(36.0))
 : 68(np.float64(64.0), np.float64(32.0))
 : 69(np.float64(66.0), np.float64(28.0))
 : 70(np.float64(67.0), np.float64(26.0))
 : 71(np.float64(68.0), np.float64(22.0))
 : 72(np.float64(69.0), np.float64(16.0))
 : 73(np.float64(69.0), np.float64(19.0))
 : 74(np.float64(70.0), np.float64(13.0))
 : 75(np.float64(71.0), np.float64(11.0))
 : 76(np.float64(71.0), np.float64(66.0))
 : 77(np.float64(72.0), np.float64(10.0))
 : 78(np.float64(78.0), np.float64(253.0))
 : 79(np.float64(84.0), np.float64(231.0))
 : 80(np.float64(85.0), np.float64(225.0))
 : 81(np.float64(85.0), np.float64(228.0))
 : 82(np.float64(87.0), np.float64(220.0))
 : 83(np.float64(88.0), np.float64(217.0))
 : 84(np.float64(89.0), np.float64(215.0))
 : 85(np.float64(90.0), np.float64(211.0))
 : 86(np.float64(90.0), np.float64(213.0))
 : 87(np.float64(91.0), np.float64(209.0))
 : 88(np.float64(92.0), np.float64(206.0))
 : 89(np.float64(93.0), np.float64(193.0))
 : 90(np.float64(93.0), np.float64(205.0))
 : 91(np.float64(94.0), np.float64(202.0))
 : 92(np.float64(95.0), np.float64(197.0))
 : 93(np.float64(97.0), np.float64(191.0))
 : 94(np.float64(97.0), np.float64(193.0))
 : 95(np.float64(99.0), np.float64(188.0))
 : 96(np.float64(102.0), np.float64(176.0))
 : 97(np.float64(102.0), np.float64(178.0))
 : 98(np.float64(103.0), np.float64(174.0))
 : 99(np.float64(104.0), np.float64(172.0))
 : 100(np.float64(105.0), np.float64(168.0))
 : 101(np.float64(106.0), np.float64(165.0))
 : 102(np.float64(107.0), np.float64(170.0))
 : 103(np.float64(108.0), np.float64(160.0))
 : 104(np.float64(108.0), np.float64(162.0))
 : 105(np.float64(110.0), np.float64(156.0))
 : 106(np.float64(111.0), np.float64(151.0))
 : 107(np.float64(112.0), np.float64(148.0))
 : 108(np.float64(113.0), np.float64(145.0))
 : 109(np.float64(115.0), np.float64(141.0))
 : 110(np.float64(116.0), np.float64(139.0))
 : 111(np.float64(117.0), np.float64(135.0))
 : 112(np.float64(117.0), np.float64(195.0))
 : 113(np.float64(120.0), np.float64(127.0))
 : 114(np.float64(120.0), np.float64(132.0))
 : 115(np.float64(135.0), np.float64(84.0))
 : 116(np.float64(136.0), np.float64(81.0))
 : 117(np.float64(138.0), np.float64(75.0))
 : 118(np.float64(149.0), np.float64(45.0))
 : 119(np.float64(150.0), np.float64(40.0))
 : 120(np.float64(150.0), np.float64(42.0))
 : 121(np.float64(151.0), np.float64(38.0))
 : 122(np.float64(154.0), np.float64(30.0))
 : 123(np.float64(156.0), np.float64(24.0))
 : 124(np.float64(165.0), np.float64(0.0))
 : 125(np.float64(172.0), np.float64(235.0))
 : 126(np.float64(173.0), np.float64(232.0))
 : 127(np.float64(174.0), np.float64(228.0))
 : 128(np.float64(179.0), np.float64(215.0))
 : 129(np.float64(185.0), np.float64(197.0))
 : 130(np.float64(186.0), np.float64(195.0))
 : 131(np.float64(192.0), np.float64(179.0))
 : 132(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(7.0), np.float64(251.0))
 : 6(np.float64(8.0), np.float64(6.0))
 : 7(np.float64(9.0), np.float64(0.0))
 : 8(np.float64(11.0), np.float64(0.0))
 : 9(np.float64(11.0), np.float64(69.0))
 : 10(np.float64(12.0), np.float64(1.0))
 : 11(np.float64(13.0), np.float64(9.0))
 : 12(np.float64(13.0), np.float64(31.0))
 : 13(np.float64(14.0), np.float64(61.0))
 : 14(np.float64(15.0), np.float64(56.0))
 : 15(np.float64(16.0), np.float64(64.0))
 : 16(np.float64(16.0), np.float64(69.0))
 : 17(np.float64(17.0), np.float64(59.0))
 : 18(np.float64(18.0), np.float64(66.0))
 : 19(np.float64(18.0), np.float64(77.0))
 : 20(np.float64(19.0), np.float64(79.0))
 : 21(np.float64(20.0), np.float64(74.0))
 : 22(np.float64(20.0), np.float64(82.0))
 : 23(np.float64(21.0), np.float64(86.0))
 : 24(np.float64(22.0), np.float64(89.0))
 : 25(np.float64(23.0), np.float64(36.0))
 : 26(np.float64(23.0), np.float64(92.0))
 : 27(np.float64(24.0), np.float64(95.0))
 : 28(np.float64(25.0), np.float64(41.0))
 : 29(np.float64(25.0), np.float64(87.0))
 : 30(np.float64(26.0), np.float64(43.0))
 : 31(np.float64(27.0), np.float64(102.0))
 : 32(np.float64(28.0), np.float64(96.0))
 : 33(np.float64(28.0), np.float64(100.0))
 : 34(np.float64(28.0), np.float64(105.0))
 : 35(np.float64(29.0), np.float64(109.0))
 : 36(np.float64(29.0), np.float64(114.0))
 : 37(np.float64(31.0), np.float64(122.0))
 : 38(np.float64(32.0), np.float64(57.0))
 : 39(np.float64(32.0), np.float64(59.0))
 : 40(np.float64(32.0), np.float64(124.0))
 : 41(np.float64(33.0), np.float64(64.0))
 : 42(np.float64(34.0), np.float64(68.0))
 : 43(np.float64(34.0), np.float64(70.0))
 : 44(np.float64(34.0), np.float64(131.0))
 : 45(np.float64(35.0), np.float64(73.0))
 : 46(np.float64(35.0), np.float64(125.0))
 : 47(np.float64(36.0), np.float64(75.0))
 : 48(np.float64(37.0), np.float64(78.0))
 : 49(np.float64(38.0), np.float64(81.0))
 : 50(np.float64(39.0), np.float64(83.0))
 : 51(np.float64(39.0), np.float64(135.0))
 : 52(np.float64(41.0), np.float64(92.0))
 : 53(np.float64(42.0), np.float64(95.0))
 : 54(np.float64(46.0), np.float64(107.0))
 : 55(np.float64(47.0), np.float64(109.0))
 : 56(np.float64(48.0), np.float64(114.0))
 : 57(np.float64(49.0), np.float64(116.0))
 : 58(np.float64(50.0), np.float64(120.0))
 : 59(np.float64(50.0), np.float64(122.0))
 : 60(np.float64(51.0), np.float64(123.0))
 : 61(np.float64(52.0), np.float64(127.0))
 : 62(np.float64(53.0), np.float64(130.0))
 : 63(np.float64(54.0), np.float64(132.0))
 : 64(np.float64(55.0), np.float64(137.0))
 : 65(np.float64(56.0), np.float64(140.0))
 : 66(np.float64(57.0), np.float64(142.0))
 : 67(np.float64(58.0), np.float64(145.0))
 : 68(np.float64(58.0), np.float64(148.0))
 : 69(np.float64(59.0), np.float64(149.0))
 : 70(np.float64(60.0), np.float64(154.0))
 : 71(np.float64(61.0), np.float64(158.0))
 : 72(np.float64(62.0), np.float64(160.0))
 : 73(np.float64(62.0), np.float64(166.0))
 : 74(np.float64(64.0), np.float64(169.0))
 : 75(np.float64(64.0), np.float64(172.0))
 : 76(np.float64(66.0), np.float64(176.0))
 : 77(np.float64(67.0), np.float64(179.0))
 : 78(np.float64(67.0), np.float64(181.0))
 : 79(np.float64(69.0), np.float64(186.0))
 : 80(np.float64(70.0), np.float64(189.0))
 : 81(np.float64(71.0), np.float64(193.0))
 : 82(np.float64(73.0), np.float64(198.0))
 : 83(np.float64(75.0), np.float64(15.0))
 : 84(np.float64(81.0), np.float64(224.0))
 : 85(np.float64(81.0), np.float64(226.0))
 : 86(np.float64(82.0), np.float64(229.0))
 : 87(np.float64(84.0), np.float64(234.0))
 : 88(np.float64(85.0), np.float64(239.0))
 : 89(np.float64(87.0), np.float64(246.0))
 : 90(np.float64(88.0), np.float64(249.0))
 : 91(np.float64(89.0), np.float64(251.0))
 : 92(np.float64(90.0), np.float64(240.0))
 : 93(np.float64(90.0), np.float64(243.0))
 : 94(np.float64(90.0), np.float64(255.0))
 : 95(np.float64(91.0), np.float64(2.0))
 : 96(np.float64(92.0), np.float64(6.0))
 : 97(np.float64(93.0), np.float64(8.0))
 : 98(np.float64(93.0), np.float64(11.0))
 : 99(np.float64(95.0), np.float64(17.0))
 : 100(np.float64(96.0), np.float64(22.0))
 : 101(np.float64(98.0), np.float64(26.0))
 : 102(np.float64(99.0), np.float64(28.0))
 : 103(np.float64(99.0), np.float64(31.0))
 : 104(np.float64(101.0), np.float64(35.0))
 : 105(np.float64(103.0), np.float64(41.0))
 : 106(np.float64(103.0), np.float64(46.0))
 : 107(np.float64(107.0), np.float64(58.0))
 : 108(np.float64(108.0), np.float64(60.0))
 : 109(np.float64(109.0), np.float64(64.0))
 : 110(np.float64(110.0), np.float64(67.0))
 : 111(np.float64(111.0), np.float64(69.0))
 : 112(np.float64(111.0), np.float64(72.0))
 : 113(np.float64(113.0), np.float64(77.0))
 : 114(np.float64(114.0), np.float64(79.0))
 : 115(np.float64(115.0), np.float64(85.0))
 : 116(np.float64(116.0), np.float64(86.0))
 : 117(np.float64(119.0), np.float64(100.0))
 : 118(np.float64(131.0), np.float64(138.0))
 : 119(np.float64(143.0), np.float64(180.0))
 : 120(np.float64(144.0), np.float64(183.0))
 : 121(np.float64(145.0), np.float64(185.0))
 : 122(np.float64(146.0), np.float64(188.0))
 : 123(np.float64(148.0), np.float64(195.0))
 : 124(np.float64(148.0), np.float64(197.0))
 : 125(np.float64(151.0), np.float64(204.0))
 : 126(np.float64(159.0), np.float64(232.0))
 : 127(np.float64(166.0), np.float64(0.0))
 : 128(np.float64(167.0), np.float64(6.0))
 : 129(np.float64(170.0), np.float64(13.0))
 : 130(np.float64(174.0), np.float64(29.0))
 : 131(np.float64(179.0), np.float64(46.0))
 : 132(np.float64(185.0), np.float64(65.0))
 : 133(np.float64(192.0), np.float64(89.0))
 : 134(np.float64(198.0), np.float64(109.0))
 : 135(np.float64(200.0), np.float64(116.0))
 : 136(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(7.0), np.float64(207.0))
 : 6(np.float64(7.0), np.float64(225.0))
 : 7(np.float64(7.0), np.float64(253.0))
 : 8(np.float64(7.0), np.float64(255.0))
 : 9(np.float64(9.0), np.float64(198.0))
 : 10(np.float64(10.0), np.float64(1.0))
 : 11(np.float64(10.0), np.float64(195.0))
 : 12(np.float64(11.0), np.float64(222.0))
 : 13(np.float64(11.0), np.float64(226.0))
 : 14(np.float64(11.0), np.float64(229.0))
 : 15(np.float64(12.0), np.float64(184.0))
 : 16(np.float64(12.0), np.float64(231.0))
 : 17(np.float64(13.0), np.float64(180.0))
 : 18(np.float64(14.0), np.float64(223.0))
 : 19(np.float64(15.0), np.float64(214.0))
 : 20(np.float64(15.0), np.float64(217.0))
 : 21(np.float64(16.0), np.float64(207.0))
 : 22(np.float64(16.0), np.float64(210.0))
 : 23(np.float64(16.0), np.float64(220.0))
 : 24(np.float64(18.0), np.float64(197.0))
 : 25(np.float64(18.0), np.float64(213.0))
 : 26(np.float64(19.0), np.float64(203.0))
 : 27(np.float64(19.0), np.float64(209.0))
 : 28(np.float64(20.0), np.float64(199.0))
 : 29(np.float64(20.0), np.float64(205.0))
 : 30(np.float64(22.0), np.float64(200.0))
 : 31(np.float64(23.0), np.float64(146.0))
 : 32(np.float64(23.0), np.float64(191.0))
 : 33(np.float64(23.0), np.float64(195.0))
 : 34(np.float64(23.0), np.float64(198.0))
 : 35(np.float64(25.0), np.float64(138.0))
 : 36(np.float64(26.0), np.float64(137.0))
 : 37(np.float64(26.0), np.float64(180.0))
 : 38(np.float64(26.0), np.float64(184.0))
 : 39(np.float64(26.0), np.float64(189.0))
 : 40(np.float64(27.0), np.float64(132.0))
 : 41(np.float64(27.0), np.float64(173.0))
 : 42(np.float64(28.0), np.float64(176.0))
 : 43(np.float64(29.0), np.float64(169.0))
 : 44(np.float64(29.0), np.float64(172.0))
 : 45(np.float64(30.0), np.float64(167.0))
 : 46(np.float64(32.0), np.float64(112.0))
 : 47(np.float64(32.0), np.float64(162.0))
 : 48(np.float64(33.0), np.float64(110.0))
 : 49(np.float64(34.0), np.float64(157.0))
 : 50(np.float64(35.0), np.float64(106.0))
 : 51(np.float64(36.0), np.float64(102.0))
 : 52(np.float64(37.0), np.float64(99.0))
 : 53(np.float64(38.0), np.float64(97.0))
 : 54(np.float64(39.0), np.float64(91.0))
 : 55(np.float64(39.0), np.float64(138.0))
 : 56(np.float64(40.0), np.float64(89.0))
 : 57(np.float64(42.0), np.float64(82.0))
 : 58(np.float64(42.0), np.float64(84.0))
 : 59(np.float64(43.0), np.float64(78.0))
 : 60(np.float64(47.0), np.float64(114.0))
 : 61(np.float64(48.0), np.float64(64.0))
 : 62(np.float64(50.0), np.float64(58.0))
 : 63(np.float64(52.0), np.float64(52.0))
 : 64(np.float64(53.0), np.float64(47.0))
 : 65(np.float64(54.0), np.float64(44.0))
 : 66(np.float64(55.0), np.float64(42.0))
 : 67(np.float64(56.0), np.float64(37.0))
 : 68(np.float64(56.0), np.float64(39.0))
 : 69(np.float64(57.0), np.float64(34.0))
 : 70(np.float64(58.0), np.float64(32.0))
 : 71(np.float64(58.0), np.float64(35.0))
 : 72(np.float64(60.0), np.float64(29.0))
 : 73(np.float64(61.0), np.float64(26.0))
 : 74(np.float64(62.0), np.float64(23.0))
 : 75(np.float64(63.0), np.float64(19.0))
 : 76(np.float64(64.0), np.float64(17.0))
 : 77(np.float64(65.0), np.float64(14.0))
 : 78(np.float64(66.0), np.float64(10.0))
 : 79(np.float64(67.0), np.float64(5.0))
 : 80(np.float64(68.0), np.float64(1.0))
 : 81(np.float64(75.0), np.float64(41.0))
 : 82(np.float64(80.0), np.float64(221.0))
 : 83(np.float64(81.0), np.float64(217.0))
 : 84(np.float64(81.0), np.float64(219.0))
 : 85(np.float64(82.0), np.float64(213.0))
 : 86(np.float64(83.0), np.float64(211.0))
 : 87(np.float64(84.0), np.float64(210.0))
 : 88(np.float64(86.0), np.float64(203.0))
 : 89(np.float64(87.0), np.float64(198.0))
 : 90(np.float64(89.0), np.float64(194.0))
 : 91(np.float64(90.0), np.float64(180.0))
 : 92(np.float64(90.0), np.float64(190.0))
 : 93(np.float64(93.0), np.float64(181.0))
 : 94(np.float64(94.0), np.float64(178.0))
 : 95(np.float64(95.0), np.float64(175.0))
 : 96(np.float64(98.0), np.float64(164.0))
 : 97(np.float64(98.0), np.float64(166.0))
 : 98(np.float64(101.0), np.float64(155.0))
 : 99(np.float64(101.0), np.float64(158.0))
 : 100(np.float64(102.0), np.float64(153.0))
 : 101(np.float64(103.0), np.float64(149.0))
 : 102(np.float64(106.0), np.float64(141.0))
 : 103(np.float64(107.0), np.float64(137.0))
 : 104(np.float64(108.0), np.float64(133.0))
 : 105(np.float64(110.0), np.float64(129.0))
 : 106(np.float64(111.0), np.float64(125.0))
 : 107(np.float64(113.0), np.float64(120.0))
 : 108(np.float64(115.0), np.float64(114.0))
 : 109(np.float64(118.0), np.float64(105.0))
 : 110(np.float64(133.0), np.float64(59.0))
 : 111(np.float64(142.0), np.float64(30.0))
 : 112(np.float64(143.0), np.float64(26.0))
 : 113(np.float64(144.0), np.float64(24.0))
 : 114(np.float64(145.0), np.float64(22.0))
 : 115(np.float64(147.0), np.float64(14.0))
 : 116(np.float64(150.0), np.float64(6.0))
 : 117(np.float64(158.0), np.float64(238.0))
 : 118(np.float64(164.0), np.float64(218.0))
 : 119(np.float64(166.0), np.float64(212.0))
 : 120(np.float64(167.0), np.float64(209.0))
 : 121(np.float64(168.0), np.float64(207.0))
 : 122(np.float64(169.0), np.float64(203.0))
 : 123(np.float64(170.0), np.float64(201.0))
 : 124(np.float64(171.0), np.float64(196.0))
 : 125(np.float64(184.0), np.float64(159.0))
 : 126(np.float64(193.0), np.float64(130.0))
 : 127(np.float64(0.0), np.float64(0.0))
 : 0(np.float64(0.0), np.float64(0.0))
 : 1(np.float64(0.0), np.float64(0.0))
 : 2(np.float64(0.0), np.float64(0.0))
 : 3(np.float64(0.0), np.float64(0.0))
 : 4(np.float64(0.0), np.float64(0.0))
 : 5(np.float64(7.0), np.float64(46.0))
 : 6(np.float64(7.0), np.float64(247.0))
 : 7(np.float64(9.0), np.float64(64.0))
 : 8(np.float64(10.0), np.float64(4.0))
 : 9(np.float64(10.0), np.float64(66.0))
 : 10(np.float64(10.0), np.float64(254.0))
 : 11(np.float64(12.0), np.float64(0.0))
 : 12(np.float64(14.0), np.float64(7.0))
 : 13(np.float64(14.0), np.float64(49.0))
 : 14(np.float64(14.0), np.float64(58.0))
 : 15(np.float64(15.0), np.float64(54.0))
 : 16(np.float64(15.0), np.float64(59.0))
 : 17(np.float64(15.0), np.float64(61.0))
 : 18(np.float64(15.0), np.float64(66.0))
 : 19(np.float64(16.0), np.float64(58.0))
 : 20(np.float64(16.0), np.float64(67.0))
 : 21(np.float64(17.0), np.float64(64.0))
 : 22(np.float64(18.0), np.float64(58.0))
 : 23(np.float64(19.0), np.float64(67.0))
 : 24(np.float64(19.0), np.float64(69.0))
