(np.float64(0.0), np.float64(0.0))
 : 43(np.float64(40.0), np.float64(87.0))
 : 44(np.float64(41.0), np.float64(92.0))
 : 45(np.float64(42.0), np.float64(97.0))
 : 46(np.float64(44.0), np.float64(100.0))
 : 47(np.float64(44.0), np.float64(104.0))
 : 48(np.float64(45.0), np.float64(106.0))
 : 49(np.float64(46.0), np.float64(108.0))
 : 50(np.float64(46.0), np.float64(110.0))
 : 51(np.float64(46.0), np.float64(112.0))
 : 52(np.float64(47.0), np.float64(111.0))
 : 53(np.float64(48.0), np.float64(115.0))
 : 54(np.float64(48.0), np.float64(157.0))
 : 55(np.float64(50.0), np.float64(123.0))
 : 56(np.float64(51.0), np.float64(131.0))
 : 57(np.float64(52.0), np.float64(135.0))
 : 58(np.float64(53.0), np.float64(133.0))
 : 59(np.float64(53.0), np.float64(139.0))
 : 60(np.float64(54.0), np.float64(142.0))
 : 61(np.float64(55.0), np.float64(144.0))
 : 62(np.float64(56.0), np.float64(147.0))
 : 63(np.float64(57.0), np.float64(146.0))
 : 64(np.float64(57.0), np.float64(151.0))
 : 65(np.float64(58.0), np.float64(155.0))
 : 66(np.float64(59.0), np.float64(153.0))
 : 67(np.float64(60.0), np.float64(159.0))
 : 68(np.float64(67.0), np.float64(182.0))
 : 69(np.float64(69.0), np.float64(187.0))
 : 70(np.float64(71.0), np.float64(195.0))
 : 71(np.float64(72.0), np.float64(197.0))
 : 72(np.float64(75.0), np.float64(206.0))
 : 73(np.float64(77.0), np.float64(215.0))
 : 74(np.float64(77.0), np.float64(234.0))
 : 75(np.float64(77.0), np.float64(251.0))
 : 76(np.float64(78.0), np.float64(216.0))
 : 77(np.float64(80.0), np.float64(226.0))
 : 78(np.float64(81.0), np.float64(230.0))
 : 79(np.float64(84.0), np.float64(236.0))
 : 80(np.float64(84.0), np.float64(239.0))
 : 81(np.float64(85.0), np.float64(242.0))
 : 82(np.float64(86.0), np.float64(247.0))
 : 83(np.float64(88.0), np.float64(251.0))
 : 84(np.float64(88.0), np.float64(255.0))
 : 85(np.float64(89.0), np.float64(1.0))
 : 86(np.float64(89.0), np.float64(3.0))
 : 87(np.float64(89.0), np.float64(254.0))
 : 88(np.float64(91.0), np.float64(6.0))
 : 89(np.float64(92.0), np.float64(9.0))
 : 90(np.float64(94.0), np.float64(15.0))
 : 91(np.float64(94.0), np.float64(18.0))
 : 92(np.float64(96.0), np.float64(23.0))
 : 93(np.float64(97.0), np.float64(24.0))
 : 94(np.float64(97.0), np.float64(26.0))
 : 95(np.float64(98.0), np.float64(30.0))
 : 96(np.float64(99.0), np.float64(31.0))
 : 97(np.float64(99.0), np.float64(33.0))
 : 98(np.float64(101.0), np.float64(37.0))
 : 99(np.float64(102.0), np.float64(42.0))
 : 100(np.float64(106.0), np.float64(54.0))
 : 101(np.float64(120.0), np.float64(102.0))
 : 102(np.float64(123.0), np.float64(114.0))
 : 103(np.float64(133.0), np.float64(146.0))
 : 104(np.float64(134.0), np.float64(149.0))
 : 105(np.float64(134.0), np.float64(152.0))
 : 106(np.float64(136.0), np.float64(156.0))
 : 107(np.float64(138.0), np.float64(163.0))
 : 108(np.float64(141.0), np.float64(174.0))
 : 109(np.float64(148.0), np.float64(199.0))
 : 110(np.float64(155.0), np.float64(221.0))
 : 111(np.float64(156.0), np.float64(224.0))
 : 112(np.float64(156.0), np.float64(226.0))
 : 113(np.float64(157.0), np.float64(230.0))
 : 114(np.float64(159.0), np.float64(235.0))
 : 115(np.float64(162.0), np.float64(246.0))
 : 116(np.float64(168.0), np.float64(9.0))
 : 117(np.float64(169.0), np.float64(14.0))
 : 118(np.float64(174.0), np.float64(32.0))
 : 119(np.float64(176.0), np.float64(37.0))
 : 120(np.float64(185.0), np.float64(66.0))
 : 121(np.float64(188.0), np.float64(77.0))
 : 122(np.float64(189.0), np.float64(82.0))
 : 123(np.float64(190.0), np.float64(84.0))
 : 124(np.float64(192.0), np.float64(92.0))
 : 125(np.float64(196.0), np.float64(106.0))
 : 126(np.float64(231.0), np.float64(224.0))
 : 127(np.float64(235.0), np.float64(238.0))
 : 128(np.float64(238.0), np.float64(247.0))
 : 129(np.float64(241.0), np.float64(44.0))
 : 130(np.float64(280.0), np.float64(168.0))
 : 131(np.float64(290.0), np.float64(169.0))
 : 132(np.float64(0.0), np.float64(0.0))
